City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ribeira Grande,PT,55.8,few clouds,38.5167,-28.7,
4,Constitucion,CL,60.49,clear sky,-35.3333,-72.4167,
12,Cape Town,ZA,66.09,overcast clouds,-33.9258,18.4232,
13,Torbay,CA,55.58,light rain,47.6666,-52.7314,
17,Esperance,AU,54.21,broken clouds,-33.8667,121.9,
20,Ejido,VE,68.94,overcast clouds,8.5514,-71.2375,
21,Rosarito,MX,69.67,few clouds,32.3333,-117.0333,
26,Saint Peters,US,56.16,clear sky,38.8003,-90.6265,
32,Airai,TL,61.03,overcast clouds,-8.9266,125.4092,
33,New Norfolk,AU,58.66,few clouds,-42.7826,147.0587,
34,Santa Lucia,ES,56.52,few clouds,27.9117,-15.5407,
42,Gushikawa,JP,67.23,mist,26.3544,127.8686,
48,Mataura,NZ,59.49,broken clouds,-46.1927,168.8643,
50,Ancud,CL,61.43,scattered clouds,-41.8697,-73.8203,
52,Punta Arenas,CL,51.12,scattered clouds,-53.15,-70.9167,
55,Barcelona,ES,54.86,clear sky,41.3888,2.159,
59,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,
65,Ponta Delgada,PT,57.92,few clouds,37.7333,-25.6667,
77,Sayhat,SA,64.35,overcast clouds,26.4852,50.0405,
78,Boddam,GB,50.38,overcast clouds,57.4667,-1.7833,
81,Bredasdorp,ZA,63.28,overcast clouds,-34.5322,20.0403,
82,Lompoc,US,65.79,clear sky,34.6391,-120.4579,
87,Sakakah,SA,57.99,overcast clouds,29.9697,40.2064,
95,Hobart,AU,59.02,broken clouds,-42.8794,147.3294,
101,Guerrero Negro,MX,68.22,broken clouds,27.9769,-114.0611,
102,Lebu,CL,57.81,clear sky,-37.6167,-73.65,
104,Bluff,NZ,59.81,scattered clouds,-46.6,168.3333,
105,Ponta Do Sol,PT,66.0,broken clouds,32.6667,-17.1,
107,Hermanus,ZA,64.9,broken clouds,-34.4187,19.2345,
112,Ahtopol,BG,52.27,overcast clouds,42.1,27.95,
113,Avera,US,62.74,clear sky,33.194,-82.5271,
114,Camacha,PT,62.53,scattered clouds,33.0833,-16.3333,
117,Nara,JP,51.08,overcast clouds,34.6851,135.8049,
118,Lata,PT,59.81,few clouds,40.1629,-8.3327,
129,Cascais,PT,63.52,clear sky,38.6979,-9.4215,
133,Miles City,US,54.57,clear sky,46.4083,-105.8406,
134,Quang Ngai,VN,68.68,broken clouds,15.1167,108.8,
135,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,
147,Mangan,IN,53.69,clear sky,27.5167,88.5333,
150,Mount Gambier,AU,66.43,few clouds,-37.8333,140.7667,
160,Christchurch,NZ,62.33,overcast clouds,-43.5333,172.6333,
163,Minudasht,IR,51.15,overcast clouds,37.2289,55.3747,
166,Sinop,TR,50.43,clear sky,41.7711,34.8709,
168,Mugumu,TZ,62.1,overcast clouds,-1.85,34.7,
171,Adrar,MR,69.62,scattered clouds,20.5022,-10.0711,
182,Marsa Matruh,EG,62.11,overcast clouds,31.3525,27.2453,
185,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,
192,Praia Da Vitoria,PT,53.76,overcast clouds,38.7333,-27.0667,
197,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,
205,Jalu,LY,56.05,clear sky,29.0331,21.5482,
206,Ulundi,ZA,67.41,overcast clouds,-28.3352,31.4162,
214,Kazerun,IR,55.09,clear sky,29.6195,51.6541,
215,Saint George,US,59.47,clear sky,37.1041,-113.5841,
218,Riyadh,SA,53.74,scattered clouds,24.6877,46.7219,
223,Jiaocheng,CN,50.92,scattered clouds,24.6774,116.1389,
235,Rawson,AR,68.18,overcast clouds,-43.3002,-65.1023,
242,Nouadhibou,MR,66.7,overcast clouds,20.931,-17.0347,
244,Geraldton,AU,59.41,broken clouds,-28.7667,114.6,
248,Lumeje,AO,69.17,light rain,-11.55,20.7833,
249,Inverell,AU,67.1,clear sky,-29.7833,151.1167,
251,Lagoa,PT,57.96,overcast clouds,39.05,-27.9833,
257,Koroni,GR,52.07,overcast clouds,36.8,21.95,
266,Wanaka,NZ,62.11,overcast clouds,-44.7,169.15,
268,Laguna,US,54.01,light rain,38.421,-121.4238,
270,Golden,US,65.89,broken clouds,39.7555,-105.2211,
271,Kaabong,UG,68.22,overcast clouds,3.4836,34.1492,
273,Nelson Bay,AU,68.0,broken clouds,-32.7167,152.15,
274,Lovington,US,67.32,clear sky,32.944,-103.3485,
282,San Patricio,US,67.05,clear sky,28.017,-97.5169,
290,Nishihara,JP,67.28,mist,26.1842,127.7558,
293,Huambo,AO,63.03,moderate rain,-12.7761,15.7392,
295,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,
299,Tura,IN,56.39,clear sky,25.5198,90.2201,
301,Fallon,US,51.93,broken clouds,39.4735,-118.7774,
303,Taltal,CL,65.01,scattered clouds,-25.4,-70.4833,
312,San Ramon,US,55.94,overcast clouds,37.7799,-121.978,
313,Salina,US,57.18,clear sky,38.8403,-97.6114,
316,Puno,PE,61.0,scattered clouds,-15.8333,-70.0333,
319,Katsuura,JP,52.2,broken clouds,35.1333,140.3,
323,Indian Head,US,52.56,clear sky,38.6001,-77.1622,
327,Nelson,NZ,66.29,broken clouds,-41.2833,173.2833,
341,Hlotse,LS,62.76,light rain,-28.8718,28.045,
345,Oxford,GB,54.05,broken clouds,51.7522,-1.256,
351,Victoria,HK,65.32,broken clouds,22.2855,114.1577,
359,Tahta,EG,68.67,overcast clouds,26.7693,31.5021,
364,Alice Springs,AU,67.55,scattered clouds,-23.7,133.8833,
368,Darnah,LY,58.35,clear sky,32.767,22.6367,
371,Iquique,CL,68.04,broken clouds,-20.2208,-70.1431,
382,Dunedin,NZ,57.9,scattered clouds,-45.8742,170.5036,
383,Jimma,ET,58.44,overcast clouds,7.6667,36.8333,
392,Flinders,AU,65.8,few clouds,-34.5833,150.8552,
394,Dembi Dolo,ET,61.81,overcast clouds,8.5333,34.8,
397,Xiongzhou,CN,53.74,overcast clouds,25.1167,114.3,
400,Dok Kham Tai,TH,67.01,scattered clouds,19.1624,99.9934,
407,Magnolia,US,56.88,clear sky,33.2671,-93.2393,
415,Sungaipenuh,ID,64.09,overcast clouds,-2.0833,101.3833,
416,Kaitangata,NZ,57.31,broken clouds,-46.2817,169.8464,
418,Saldanha,ZA,62.62,overcast clouds,-33.0117,17.9442,
419,Half Moon Bay,US,57.4,light rain,37.4636,-122.4286,
423,Porto Empedocle,IT,50.38,clear sky,37.2934,13.5264,
428,Carahue,CL,61.0,scattered clouds,-38.7,-73.1667,
429,San Francisco,US,57.51,light rain,37.7749,-122.4194,
435,Meridian,US,55.38,broken clouds,43.6121,-116.3915,
439,Marzuq,YE,57.78,clear sky,14.4,46.4667,
443,Buraydah,SA,54.45,broken clouds,26.326,43.975,
444,Rumuruti,KE,57.97,broken clouds,0.267,36.5389,
448,Dillon,US,57.87,clear sky,34.4166,-79.3712,
456,Burnie,AU,56.34,overcast clouds,-41.0667,145.9167,
461,Lithgow,AU,55.47,clear sky,-33.4833,150.15,
469,Brawley,US,66.49,clear sky,32.9787,-115.5303,
470,Tuatapere,NZ,59.83,broken clouds,-46.1333,167.6833,
477,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,
481,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,
483,Belle Fourche,US,51.31,scattered clouds,44.6714,-103.8522,
487,Mayo,US,51.19,clear sky,38.8876,-76.5119,
491,Port Lincoln,AU,60.67,broken clouds,-34.7333,135.8667,
494,Eureka,US,52.63,overcast clouds,40.8021,-124.1637,
495,Fortuna,US,52.36,overcast clouds,40.5982,-124.1573,
496,Padampur,IN,56.68,scattered clouds,29.6833,73.6167,
498,Sinjar,IQ,53.08,overcast clouds,36.3209,41.8754,
499,Uige,AO,67.51,light rain,-7.6087,15.0613,
501,Pacific Grove,US,58.33,overcast clouds,36.6177,-121.9166,
