City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Codrington,AU,75.36,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
5,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
7,Port Blair,IN,79.41,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
11,Vanimo,PG,78.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
15,Chuy,UY,73.83,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
18,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Rikitea,PF,77.4,light rain,-23.1203,-134.9692,People ThankYou
23,Auki,SB,81.09,heavy intensity rain,-8.7676,160.7034,Auki Motel
24,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
25,Mahebourg,MU,74.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
29,Atuona,PF,79.14,few clouds,-9.8,-139.0333,Villa Enata
31,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Balikpapan,ID,74.46,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
36,Manali,IN,81.07,few clouds,13.1667,80.2667,Sarathy Lodge
37,Matamoros,MX,73.51,broken clouds,25.5333,-103.25,Quinta Belem
38,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
39,Mar Del Plata,AR,70.88,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Maldonado,UY,77.23,broken clouds,-34.6667,-54.9167,La Cimarrona
44,Butaritari,KI,82.53,broken clouds,3.0707,172.7902,Isles Sunset Lodge
45,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti Beach Resort
46,Le Port,RE,77.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
53,San Policarpo,PH,79.81,overcast clouds,12.1791,125.5072,Agapita M. Nicart
57,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
61,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
62,Tuy Hoa,VN,71.96,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
63,Aswan,EG,75.0,overcast clouds,24.0934,32.907,Nuba Nile
67,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
69,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
