City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,4.47,light snow
1,Codrington,AU,-38.2667,141.9667,75.36,30,78,14.54,broken clouds
2,Broome,US,42.2506,-75.833,43.86,49,1,4.0,clear sky
3,Ribeira Grande,PT,38.5167,-28.7,55.8,58,20,8.05,few clouds
4,Constitucion,CL,-35.3333,-72.4167,60.49,56,0,19.8,clear sky
5,Rio Grande,BR,-32.035,-52.0986,78.91,72,0,15.77,clear sky
6,La Ronge,CA,55.1001,-105.2842,14.14,92,100,2.71,overcast clouds
7,Port Blair,IN,11.6667,92.75,79.41,74,69,12.66,broken clouds
8,Severo-Kurilsk,RU,50.6789,156.125,32.65,90,81,10.27,broken clouds
9,Talnakh,RU,69.4865,88.3972,-22.47,87,98,0.72,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,39.36,72,100,20.13,overcast clouds
11,Vanimo,PG,-2.6741,141.3028,78.85,87,100,5.39,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,66.09,82,94,3.0,overcast clouds
13,Torbay,CA,47.6666,-52.7314,55.58,91,100,11.99,light rain
14,Usinsk,RU,65.9939,57.5281,10.42,97,94,9.84,overcast clouds
15,Chuy,UY,-33.6971,-53.4616,73.83,66,0,14.79,clear sky
16,Lokosovo,RU,61.1333,74.8167,3.45,98,100,1.95,overcast clouds
17,Esperance,AU,-33.8667,121.9,54.21,63,52,3.09,broken clouds
18,Kapaa,US,22.0752,-159.319,79.12,72,20,4.0,few clouds
19,Rikitea,PF,-23.1203,-134.9692,77.4,77,91,9.84,light rain
20,Ejido,VE,8.5514,-71.2375,68.94,94,100,3.44,overcast clouds
21,Rosarito,MX,32.3333,-117.0333,69.67,48,15,6.02,few clouds
22,Sioux Lookout,CA,50.1001,-91.917,33.84,91,51,8.84,broken clouds
23,Auki,SB,-8.7676,160.7034,81.09,85,89,7.87,heavy intensity rain
24,Georgetown,MY,5.4112,100.3354,79.9,81,40,3.44,scattered clouds
25,Mahebourg,MU,-20.4081,57.7,74.25,68,99,12.53,overcast clouds
26,Saint Peters,US,38.8003,-90.6265,56.16,27,1,1.99,clear sky
27,Lensk,RU,60.7253,114.9278,-10.86,99,100,3.71,overcast clouds
28,Mount Isa,AU,-20.7333,139.5,73.17,28,4,0.0,clear sky
29,Atuona,PF,-9.8,-139.0333,79.14,76,17,18.79,few clouds
30,Roald,NO,62.5833,6.1333,42.94,75,75,11.5,broken clouds
31,Hilo,US,19.7297,-155.09,80.28,55,20,5.75,light rain
32,Airai,TL,-8.9266,125.4092,61.03,88,100,1.57,overcast clouds
