City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,77.36,80,19,16.98,TO,2021-12-12 19:00:57
1,Port Lincoln,-34.7333,135.8667,60.48,77,87,16.35,AU,2021-12-12 19:01:38
2,Atuona,-9.8,-139.0333,78.91,77,23,19.13,PF,2021-12-12 19:01:38
3,North Bend,43.4065,-124.2243,47.95,100,100,18.7,US,2021-12-12 19:01:38
4,Waipawa,-41.4122,175.5153,54.23,95,100,7.83,NZ,2021-12-12 19:01:39
5,Jamestown,42.097,-79.2353,43.72,46,0,18.99,US,2021-12-12 18:59:43
6,Bredasdorp,-34.5322,20.0403,65.28,83,100,5.37,ZA,2021-12-12 19:01:08
7,Basoko,1.2391,23.616,76.28,84,100,3.58,CD,2021-12-12 19:01:39
8,Punta Arenas,-53.15,-70.9167,51.91,32,75,23.02,CL,2021-12-12 18:57:19
9,Saint-Georges,12.0564,-61.7485,79.95,81,100,13.35,GD,2021-12-12 19:01:40
10,Ushuaia,-54.8,-68.3,47.14,53,48,24.36,AR,2021-12-12 19:00:38
11,Komotini,41.1228,25.3964,51.35,87,60,1.99,GR,2021-12-12 19:01:40
12,Tura,25.5198,90.2201,56.86,71,0,4.03,IN,2021-12-12 19:01:41
13,Bowen,-20.0167,148.2333,78.44,74,12,12.28,AU,2021-12-12 19:01:41
14,Vardo,70.3705,31.1107,28.38,86,75,13.8,NO,2021-12-12 18:59:37
15,Cavalcante,-13.7975,-47.4583,78.1,77,100,2.98,BR,2021-12-12 19:01:41
16,Mataura,-46.1927,168.8643,49.21,81,100,0.56,NZ,2021-12-12 19:01:42
17,Mount Gambier,-37.8333,140.7667,63.63,36,12,6.35,AU,2021-12-12 19:01:42
18,Anuchino,43.9622,133.0544,8.91,76,100,11.83,RU,2021-12-12 19:01:42
19,Coihaique,-45.5752,-72.0662,57.49,51,22,14.54,CL,2021-12-12 19:01:43
20,Kahului,20.8947,-156.47,76.84,87,45,8.01,US,2021-12-12 19:01:43
21,Kavaratti,10.5669,72.642,81.59,73,62,1.7,IN,2021-12-12 19:01:43
22,Hermanus,-34.4187,19.2345,66.9,83,100,10.87,ZA,2021-12-12 19:01:44
23,Kaitangata,-46.2817,169.8464,54.93,77,64,2.37,NZ,2021-12-12 19:01:04
24,Vestmannaeyjar,63.4427,-20.2734,44.4,69,100,21.59,IS,2021-12-12 19:01:44
25,Hobart,-42.8794,147.3294,49.26,85,75,8.05,AU,2021-12-12 19:01:44
26,Korla,41.7597,86.1469,18.99,72,73,2.15,CN,2021-12-12 19:00:29
27,Medea,36.2642,2.7539,39.65,87,0,2.73,DZ,2021-12-12 19:01:45
28,Bilma,18.6853,12.9164,69.12,10,1,9.1,NE,2021-12-12 19:01:45
29,Sao Joao Da Barra,-21.6403,-41.0511,78.76,85,98,20.2,BR,2021-12-12 19:01:46
30,Kindu,-2.95,25.95,71.01,95,100,2.3,CD,2021-12-12 18:58:27
31,Jalu,29.0331,21.5482,58.17,32,6,6.38,LY,2021-12-12 19:01:46
32,Hithadhoo,-0.6,73.0833,81.12,78,100,10.98,MV,2021-12-12 19:01:47
33,Shimoda,34.6667,138.95,53.1,62,1,27.02,JP,2021-12-12 19:01:47
34,Bethel,41.3712,-73.414,47.19,39,0,5.99,US,2021-12-12 19:01:47
35,Guider,9.9342,13.9486,81.93,19,7,5.68,CM,2021-12-12 19:01:48
36,Turukhansk,65.8167,87.9833,-14.04,92,100,5.26,RU,2021-12-12 19:01:48
37,Boguchany,58.3814,97.4531,-1.84,99,95,3.91,RU,2021-12-12 19:01:48
38,Dasoguz,41.8363,59.9666,33.91,62,3,7.14,TM,2021-12-12 19:01:49
39,Albany,42.6001,-73.9662,45.09,36,0,4.0,US,2021-12-12 19:00:10
40,Tiksi,71.6872,128.8694,-17.77,100,100,1.86,RU,2021-12-12 19:01:49
41,Oranjemund,-28.55,16.4333,63.1,88,28,7.9,NA,2021-12-12 19:01:50
42,Totma,59.9747,42.7642,12.24,93,100,6.33,RU,2021-12-12 19:01:50
43,Vanimo,-2.6741,141.3028,78.87,88,100,6.51,PG,2021-12-12 19:01:17
44,Challans,46.8436,-1.8749,52.97,96,70,8.66,FR,2021-12-12 19:02:50
45,Provideniya,64.3833,-173.3,-10.64,89,57,5.95,RU,2021-12-12 19:01:53
46,Port Macquarie,-31.4333,152.9167,60.89,87,1,9.31,AU,2021-12-12 19:01:24
47,Griffith,41.5284,-87.4237,49.89,50,1,5.01,US,2021-12-12 19:02:51
48,Tuktoyaktuk,69.4541,-133.0374,-7.35,96,100,16.08,CA,2021-12-12 19:02:51
49,Avarua,-21.2078,-159.775,73.45,100,75,13.8,CK,2021-12-12 19:02:52
50,Dikson,73.5069,80.5464,-18.36,94,98,12.8,RU,2021-12-12 19:02:52
